date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:27	125/125	---MCZ	200	added ('OK')	text/plain	date:Fri,%2023%20Aug%202024%2023:45:26%20GMT	https://powerperspectives.org/robots.txt		(from )
16:45:27	266290/266290	---MCZ	200	added ('OK')	text/html	etag:W/%229vrml1izg65p5u%22	https://powerperspectives.org/	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/index.html	(from )
16:45:27	5968/5968	---MCZ	200	added ('OK')	text/css	etag:W/%22d1d3fd382700cf34ca17e572797fff39%22	https://powerperspectives.org/_next/static/css/c10f41517bf2a087.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/c10f41517bf2a087.css	(from https://powerperspectives.org/)
16:45:28	272/272	---M--	200	added ('OK')	text/css	etag:%22c5ee5b565aaadca08a53453ac6e320d7%22	https://powerperspectives.org/_next/static/css/d5f5753bbc15b5e9.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/d5f5753bbc15b5e9.css	(from https://powerperspectives.org/)
16:45:29	8751/8751	---MCZ	200	added ('OK')	text/css	etag:W/%22f80fde181f24d08e3c2ea71771be8edd%22	https://powerperspectives.org/_next/static/css/2714ebb76e66b45f.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/2714ebb76e66b45f.css	(from https://powerperspectives.org/)
16:45:30	3059/3059	---MCZ	200	added ('OK')	text/css	etag:W/%229c1c6364dea667d13fb2c7f9be78b241%22	https://powerperspectives.org/_next/static/css/72c9eff68bdb8d49.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/72c9eff68bdb8d49.css	(from https://powerperspectives.org/)
16:45:31	425/425	---M--	200	added ('OK')	text/css	etag:%22506fbf4cb5352de1e1217ed5cf25f6d4%22	https://powerperspectives.org/_next/static/css/910da6a3c0937129.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/910da6a3c0937129.css	(from https://powerperspectives.org/)
16:45:32	7513/7513	---MCZ	200	added ('OK')	text/css	etag:W/%22c22ea0703c3abe925a3839bc63804581%22	https://powerperspectives.org/_next/static/css/66fd2a1c842338fe.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/66fd2a1c842338fe.css	(from https://powerperspectives.org/)
16:45:33	9499/9499	---MCZ	200	added ('OK')	text/css	etag:W/%2215a57daba8633a3808c3237b3b516713%22	https://powerperspectives.org/_next/static/css/fc393bfdb4aa2ff4.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/fc393bfdb4aa2ff4.css	(from https://powerperspectives.org/)
16:45:34	362/362	---M--	200	added ('OK')	text/css	etag:%2271bb425a396330f5e561bd40c53887cc%22	https://powerperspectives.org/_next/static/css/44b83c3d2ca981fd.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/44b83c3d2ca981fd.css	(from https://powerperspectives.org/)
16:45:35	7180/7180	---MCZ	200	added ('OK')	text/css	etag:W/%2261d800551cdafdc54c444c0fedb2f419%22	https://powerperspectives.org/_next/static/css/52fce15ee309ea55.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/52fce15ee309ea55.css	(from https://powerperspectives.org/)
16:45:37	25271/25271	---MCZ	200	added ('OK')	text/css	etag:W/%22de719ac974cb4c10ae15354c023ca65d%22	https://powerperspectives.org/_next/static/css/bb76edb54677f13d.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/bb76edb54677f13d.css	(from https://powerperspectives.org/)
16:45:37	486/486	---M--	200	added ('OK')	text/css	etag:%22274da9639af63767f952f17f816fdee3%22	https://powerperspectives.org/_next/static/css/6bbf6298f76eb501.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/6bbf6298f76eb501.css	(from https://powerperspectives.org/)
16:45:39	22577/22577	---MCZ	200	added ('OK')	text/css	etag:W/%22c6588c6d40cdcb2b83a1b3768880581a%22	https://powerperspectives.org/_next/static/css/bdf10101024a210a.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/bdf10101024a210a.css	(from https://powerperspectives.org/)
16:45:40	15747/15747	---MCZ	200	added ('OK')	text/css	etag:W/%22fddd3dbb8624b5b18887a068796ed80a%22	https://powerperspectives.org/_next/static/css/b9b5e54670ad7965.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/b9b5e54670ad7965.css	(from https://powerperspectives.org/)
16:45:40	2665/2665	---MCZ	200	added ('OK')	text/css	etag:W/%221c61f0e4a6ac0b6165044daf3a5b7808%22	https://powerperspectives.org/_next/static/css/5fb2e9f3d82f937c.css	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/css/5fb2e9f3d82f937c.css	(from https://powerperspectives.org/)
16:45:42	41872/41872	---MCZ	200	added ('OK')	application/javascript	etag:W/%224576b4c58860ca4fe32e93e889eb0971%22	https://powerperspectives.org/_next/static/chunks/webpack-90e7ef2a331f0b74.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/webpack-90e7ef2a331f0b74.js	(from https://powerperspectives.org/)
16:45:43	172833/172833	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265638522aea5f76d340e2048b9d04141%22	https://powerperspectives.org/_next/static/chunks/1dd3208c-04e412786b9bb5a8.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/1dd3208c-04e412786b9bb5a8.js	(from https://powerperspectives.org/)
16:45:44	123720/123720	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da911296729921d80d804bad4cc46e82%22	https://powerperspectives.org/_next/static/chunks/60286-890409783f04e06c.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/60286-890409783f04e06c.js	(from https://powerperspectives.org/)
16:45:44	476/476	---M--	200	added ('OK')	application/javascript	etag:%2237c30b1a3bfa5ba055c8c7765d9ae231%22	https://powerperspectives.org/_next/static/chunks/main-app-cffc2c37ce876347.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/main-app-cffc2c37ce876347.js	(from https://powerperspectives.org/)
16:45:45	1263/1263	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e85cc2565a8167e9acbb75cb0342d53c%22	https://powerperspectives.org/_next/static/chunks/app/main/%5Bsite%5D/%5B%5B...page%5D%5D/not-found-6c437530f404bee6.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/app/main/[site]/[[...page]]/not-found-6c437530f404bee6.js	(from https://powerperspectives.org/)
16:45:47	125258/125258	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a294737e2549d1732a07b62562d195e%22	https://powerperspectives.org/_next/static/chunks/4200-5d7227b692768868.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/4200-5d7227b692768868.js	(from https://powerperspectives.org/)
16:45:48	20831/20831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244b08be06d2ef632ffcac1e02071ebef%22	https://powerperspectives.org/_next/static/chunks/66916-5850d4983eef3dd7.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/66916-5850d4983eef3dd7.js	(from https://powerperspectives.org/)
16:45:49	22483/22483	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f4c568511de47aeef80ae3305cb834a%22	https://powerperspectives.org/_next/static/chunks/6853-e5c585de543f8749.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/6853-e5c585de543f8749.js	(from https://powerperspectives.org/)
16:45:50	16949/16949	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d55340ad05beb7adfce4779640fb5a51%22	https://powerperspectives.org/_next/static/chunks/37955-4c3e80e988dde758.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/37955-4c3e80e988dde758.js	(from https://powerperspectives.org/)
16:45:51	16633/16633	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a14f8f608bc6e6214137d7c86839fa8d%22	https://powerperspectives.org/_next/static/chunks/app/main/%5Bsite%5D/layout-e18b52732d4a1bfc.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/app/main/[site]/layout-e18b52732d4a1bfc.js	(from https://powerperspectives.org/)
16:45:52	1516/1516	---MCZ	200	added ('OK')	application/javascript	etag:W/%2292ef450866609202e79496b08b8e128f%22	https://powerperspectives.org/_next/static/chunks/app/main/%5Bsite%5D/error-3e315fa6bc363a83.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/app/main/[site]/error-3e315fa6bc363a83.js	(from https://powerperspectives.org/)
16:45:53	33902/33902	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c45c6e7459b3d353a187ddbec25f817%22	https://powerperspectives.org/_next/static/chunks/88709-12758d4a13be1505.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/88709-12758d4a13be1505.js	(from https://powerperspectives.org/)
16:45:54	40166/40166	---MCZ	200	added ('OK')	application/javascript	etag:W/%229e95ef0d2958ee0a6b7c272074cd5f3c%22	https://powerperspectives.org/_next/static/chunks/10153-872938fcd9dc342d.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/10153-872938fcd9dc342d.js	(from https://powerperspectives.org/)
16:45:55	64551/64551	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265fbd1aed63efa30bcb3fb81ea3d5e54%22	https://powerperspectives.org/_next/static/chunks/app/main/%5Bsite%5D/%5B%5B...page%5D%5D/page-644d72bb664b0e9e.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/app/main/[site]/[[...page]]/page-644d72bb664b0e9e.js	(from https://powerperspectives.org/)
16:45:56	91381/91381	---MCZ	200	added ('OK')	application/javascript	etag:W/%2279330112775102f91e1010318bae2bd3%22	https://powerperspectives.org/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://powerperspectives.org/)
16:45:57	313599/313599	---MCZ	200	added ('OK')	text/html	etag:W/%22v8gft34lk26pn7%22	https://powerperspectives.org/insights	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/insights.html	(from https://powerperspectives.org/)
16:45:58	162496/162496	---MCZ	200	added ('OK')	text/html	etag:W/%22ixeu4dsknh3h6y%22	https://powerperspectives.org/conversations	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/conversations.html	(from https://powerperspectives.org/)
16:45:59	187845/187845	---MCZ	200	added ('OK')	text/html	etag:W/%22hfntmlgrjw40m5%22	https://powerperspectives.org/blog	/Users/anushreechaudhuri/pCloud%20Drive/MIT/MIT%20Work/Fieldwork/PerspectivesonPower_WebsiteClone_Aug232024/perspectives%20on%20power/powerperspectives.org/blog.html	(from https://powerperspectives.org/)
